Dec 12,"Ngonlain Bareng Monyet, yg baru bisa bertwiteran",Selamat pagi  Mari #BoikotJNE #StopJNEKadroen #StopPakaiJNE #JNEKadrun #JNE30Ngadrun @JNECare @JNE_ID @JNE_Peru STOP  INTOLERANSI     SARA     PREMANISME & TERORISME
Dec 12,@Devy215manalu ##,#BoikotJNE
Dec 12,pay faid,#BoikotJNE Mff JNE mulai sekarang saya akan pindah ke jasa pengiriman yang lain...
Dec 12,Bagus Timor,#BoikotJNE
Dec 12,casRom ,#BoikotJNE #BoikotJNE #BoikotJNE
Dec 12,"Ngonlain Bareng Monyet, yg baru bisa bertwiteran",Selamat pagi Mari #BoikotJNE #StopJNEKadroen #StopPakaiJNE #JNEKadrun #JNE30Ngadrun @JNECare @JNE_ID @JNE_Peru STOP  INTOLERANSI     SARA     PREMANISME & TERORISME
Dec 12,Aura,Done #BoikotJNE
Dec 12,Yusuf,Baru nyimak yang lagi viral #BoikotJNE maklum kuli shif 3
Dec 12,Bagus Timor,Sy sdh #UninstalJNE n #BoikotJNE
Dec 12,"Ngonlain Bareng Monyet, yg baru bisa bertwiteran",Sama Setuju  Mari #BoikotJNE #StopJNEKadroen #StopPakaiJNE #JNEKadrun #JNE30Ngadrun @JNECare @JNE_ID @JNE_Peru STOP  INTOLERANSI     SARA     PREMANISME & TERORISME
Dec 12,Endri Yanson,#BoikotJNE
Dec 12,Kang NuN,#BoikotJNE
Dec 12,KLIK4A VIP,Jika kalian merasa jelek ingat lah video ini  #NgakakKocak #Ngakak #MCI #memeComicIndonesia #Dagelan #BoikotJNE #Laza1212 #Asupanmeme #VideoLucu #NewNormal
Dec 12,Yudi,Ada ini di JNE #BoikotJNE
Dec 12,Ferdinand Hutahaean,Rasis ya..!! Jorok..! #BoikotJNE
Dec 12,Terima Kasih,#BoikotJNE
Dec 12,Endri Yanson,#BoikotJNE
Dec 12,"Ngonlain Bareng Monyet, yg baru bisa bertwiteran",Sama Setuju  Mari #BoikotJNE #StopJNEKadroen #StopPakaiJNE #JNEKadrun #JNE30Ngadrun @JNECare @JNE_ID @JNE_Peru STOP  INTOLERANSI     SARA     PREMANISME & TERORISME
Dec 12,Gabener Abas,#BoikotJNE
Dec 12,"Ngonlain Bareng Monyet, yg baru bisa bertwiteran",Sama Setuju  Mari #BoikotJNE #StopJNEKadroen #StopPakaiJNE #JNEKadrun #JNE30Ngadrun @JNECare @JNE_ID @JNE_Peru STOP  INTOLERANSI     SARA     PREMANISME & TERORISME
Dec 12,"Ngonlain Bareng Monyet, yg baru bisa bertwiteran",Sama Setuju  Mari #BoikotJNE #StopJNEKadroen #StopPakaiJNE #JNEKadrun #JNE30Ngadrun @JNECare @JNE_ID @JNE_Peru STOP  INTOLERANSI     SARA     PREMANISME & TERORISME
Dec 12,RakyatBiasa,#BoikotJNE??? Kalau ini kalian bilang apa bong #JNEKadrun???? #JNEyes #JNEoke #JanganDiamkanKemungkaran #BuzzerPendengki
Dec 12,#100%Cebong'ers NKRI,Pagi pagi buka cuitan #BoikotJNE  masih bertahan diatas. Lambungkan terus sampai menembus langit.
Dec 12,"Ngonlain Bareng Monyet, yg baru bisa bertwiteran",Sama Setuju  Mari #BoikotJNE #StopJNEKadroen #StopPakaiJNE #JNEKadrun #JNE30Ngadrun @JNECare @JNE_ID @JNE_Peru STOP  INTOLERANSI     SARA     PREMANISME & TERORISME
Dec 12,MasPra.IX ,Oohhh ohhh..   Ternyata ketemu 27 bidadari nya di JNE... Wkwk wkwk wkwk...   #BoikotJNE #BoikotJNE #BoikotJNE #BoikotJNE #BoikotJNE
Dec 12,Ysf Irianto,#BoikotJNE
Dec 12,Endri Yanson,#BoikotJNE
Dec 12,Curut Angob,Yesss #BoikotJNE
Dec 12,Vi,Alhamdulillah sering pake JNE dan akan lebih sering lagi menggunakan JNE...no #BoikotJNE
Dec 12,Den's Rambu Anarki,#BoikotJNE
Dec 12,Ahmad jarkasih,Yang #BoikotJNE kalian noraaaaaaaaaak....katanya mau Damai tapi kalian noraaaaaaaaaak
Dec 12,jaga kamu&aku #PAKAIMASKER,#BoikotJNE #BoikotJNE #BoikotJNE  jangan lupa bos pelanggan utama mu itu warganet bukan warga monas212
Dec 12,Inoe77,Saya pilih kantor pos....#BoikotJNE
Dec 12,Kursi Merah bambu,#boikotJNE #JNEterpaparradikalisme
Dec 12,Inoe77,Saya pilih Kantor Pos.....#BoikotJNE
Dec 12,"Ngonlain Bareng Monyet, yg baru bisa bertwiteran",Mari #BoikotJNE #StopJNEKadroen #StopPakaiJNE #JNEKadrun #JNE30Ngadrun @JNECare @JNE_ID @JNE_Peru STOP  INTOLERANSI     SARA     PREMANISME & TERORISME
Dec 12,MasPra.IX ,#BoikotJNE
Dec 12,oppie,Ga ngaruuuhhhhh...tetep #BoikotJNE
Dec 12,aku aja,#BoikotJNE
Dec 12,Musuh Masyarakat,#Shopee1212 yah kalah trending lu sama #BoikotJNE 
Dec 12,The_mit kasep,Hihihi tembus 16k #BoikotJNE
Dec 12,"Ngonlain Bareng Monyet, yg baru bisa bertwiteran",Mari #BoikotJNE #StopJNEKadroen #StopPakaiJNE #JNEKadrun #JNE30Ngadrun @JNECare @JNE_ID @JNE_Peru STOP  INTOLERANSI     SARA     PREMANISME & TERORISME
Dec 12,"Ngonlain Bareng Monyet, yg baru bisa bertwiteran",Sama Setuju  Mari #BoikotJNE #StopJNEKadroen #StopPakaiJNE #JNEKadrun #JNE30Ngadrun @JNECare @JNE_ID @JNE_Peru STOP  INTOLERANSI     SARA     PREMANISME & TERORISME
Dec 12,Rindu Ketenangan,Bye .. bye .. @JNE_ID .. #BoikotJNE
Dec 12,Kang NuN,#BoikotJNE
Dec 12,diem dirumah,Biasa nyari kurir gratisan sok-sokan #BoikotJNE 
Dec 12,samba madangkara,#BoikotJNE #JNE30Tahun #JNEKadrun  Oh... Jadi selama ini si die yg ada saham di @JNE_ID  Bisa jd mendonasikan ke untungan buat t*r*ris..! Yakin nanya...?
Dec 12,Ryan,Sukses selalu JNE #BoikotJNE
Dec 12,Ulya Agna,Ikutan ngeramein ahhh seruuuuuuu #BoikotJNE
Dec 12,Bern Stern,Drpd uang yg kalian bayar  dipake @JNE_ID utk memperkaya ustad2 pemecah belah bangsa  dan membantu usaha mrk mengubah NKRI jadi khilafah  mendingan kalian #BoikotJNE .  Jangan sampe kita membantu kehancuran NKRI yg merupakan rumah kita ini.
Dec 12,BMW,#BoikotJNE
Dec 12,Then Kahin,Dengan berat hati terpaksa #BoikotJNE  
Dec 12,Cahyadin,Buat yang punya toko online dan masih cantumin pilihan pengiriman jne ayo hapus rame2 dan buat yg beli online pilih @sicepat_ekspres atau lalamove yaaa #BoikotJNE
Dec 12,Kang NuN,Jejak digital memang sadis #BoikotJNE
Dec 12,Faqih Faturrachman,Percuma #BoikotJNE kalo masih cari ongkir murah 
Dec 12,Edu Hutahayan,#BoikotJNE
Dec 12,Zizo,#BoikotJNE
Dec 12,Kang NuN,#BoikotJNE
Dec 12,januar keristian,#BoikotJNE  ..tinggalkan jasa pengiriman penyokong kadrun
Dec 12,Imam Muzaki,#BoikotJNE Bani Baliho maha banner
Dec 12,buyungyangcelalutercakitwiw,Lo pada goblok gampang kali di adu domba dasar kambing #BoikotJNE
Dec 12,࿐ཽ༵რєﻨ þєşεҚ 他很米兰࿐ཽ༵,Selamat pagi guysss Semoga sehat selalu  #BoikotJNE
Dec 12,Hari Rianto,#BlackListJNE #BoikotJNE
Dec 12,.,#BoikotJNE
Dec 12,SandalBudak,Haha kamu kwtahuan ternyata kadrun #BoikotJNE
Dec 12,Dayu Rexa,Ini  @JNE_ID kena semprot warga kan. #JNEKadrun #BoikotJNE Sampe trending satu loh pagi ini. emosi warganet uda sampe di ubun ubun tuh. .   Sampe sini skip dulu lah pake jne.  Kalo uda lurus nanti kita  pertimbangkan lagi.
Dec 12,Eka Jepp,Setuju Aamiin  dan jangan lupa #BoikotJNE ya.
Dec 12,Jihad Basmi HTI,#BoikotJNE Wassalam JNE  by...
Dec 12,Indomaret,Emang tagar #BoikotJNE  berhentikan pesawat pengangkut paket?
Dec 12,Muppet88,#BoikotJNE soalnya blm tau ngadrun
Dec 12,Bagus Timor,#BoikotJNE
Dec 12,akinadda,#BoikotJNE
Dec 12,ayamgeprek,Sudah 15rb lebih min #BoikotJNE
Dec 12,#SambelSetan,Kalau mau #BoikotJNE saya setuju klo mu lai sekarang kita angkat @PosIndonesia untuk jadi alternative kurir pengiriman ...
Dec 12,Scooterockbluesnroll,#BoikotJNE cintai produk indonesia @PosIndonesia
Dec 12,Danny ,Bye bye @JNE_ID #BoikotJNE #BoikotJNE #BoikotJNE #BoikotJNE #BoikotJNE #BoikotJNE
Dec 12,Ruba Nurzaman,Selamat tinggal JNE #BoikotJNE
Dec 12,Eko Hantoro,#BoikotJNE #JNEKadrun
Dec 12,Eko Hantoro,#BoikotJNE #JNEKadrun
Dec 12,Tiar recht Salm,NASIBMU @JNE_ID  Postingan JNE Sorogenen ini sudah menfitnah Banser NU.  Bisa jadi nasib JNE seperti Bukalapak  rontok saham dan ratingnya krn Cebong.  Mereka memang kalangan plural  toleran  rasional dan progressive. Cebong itu baik hati tapi sadis kalau soal prinsip. #BoikotJNE
Dec 12,sukakmaen,Kalau kelamaan memang masalahnya apa buat kamu ?  #BoikotJNE
Dec 12,damai Indonésiaku Tanpa Kadrun,Bye jne  #BoikotJNE
Dec 12,js,Gaya2an #BoikotJNE omset ol seret juga..   Pembeli boikot juga seller ol shop yang ga ada jne  Mamam
Dec 12,Ade nur,#BoikotJNE 
Dec 12,kafi,#BoikotJNE
Dec 12,andhika yudiaji,Ada apa dgan #BoikotJNE #JNEKadrun ?
Dec 12,Aris susanto,Kirain apaan dan kenapa jadi trending... #boikotjne
